intent,button,entities
affirm,Yes,
ask_builder,Who built you?,
ask_howdoing,How do you feel?,
ask_isbot,Are you a bot?,
ask_languagesbot,What languages do you speak?,
ask_whatisAmy,What is Amy?,
greet,"Say ""Hi!"" ",
interview_results,When will be the results published?,
salary_policy,Company salary policies.,
interview_call_waitingtime,How long will it be until I get my interview call?,
leave_policy,Company leave policies,
interview_cancel_or_reschedule,Schedule/ Reschedule/ Cancel an interview,
next_steps,What are the next steps?,
interview_rounds,No. of interview rounds.,
interview_cancellation_reasons,Why my interview was cancelled?,
goodbye,"Say ""Bye!"" ",
affirm,"Say ""Yes!"" ",
talk_to_recruiter,Talk to recruiter,
interview_type,What sort of interview should I be expecting?,
